Name,WordID,DisplayWord,Description,RelatedCharacterIDs,bUnlockedByDefault
WORD_01_001,WORD_01_001,형,가족사진에서 부여,CHARACTER_SISTER,FALSE
WORD_01_002,WORD_01_002,여동생,가족사진에서 부여,CHARACTER_SISTER,FALSE
WORD_01_003,WORD_01_003,자백,가족사진에서 부여,CHARACTER_SISTER,FALSE
WORD_01_004,WORD_01_004,어머니,일기장에서 부여,CHARACTER_SISTER,FALSE
WORD_01_005,WORD_01_005,다툼,일기장에서 부여,CHARACTER_SISTER,FALSE
WORD_01_006,WORD_01_006,탄 자국,고데기에서 부여,CHARACTER_SISTER,FALSE
WORD_01_007,WORD_01_007,고데기,고데기에서 부여,CHARACTER_SISTER,FALSE
WORD_01_008,WORD_01_008,창문,창문에서 부여,CHARACTER_SISTER,FALSE
WORD_01_009,WORD_01_009,햇빛,창문에서 부여,CHARACTER_SISTER,FALSE
WORD_01_010,WORD_01_010,커튼,커튼에서 부여,CHARACTER_SISTER,FALSE
WORD_01_011,WORD_01_011,변형,커튼봉에서 부여,CHARACTER_SISTER,FALSE
WORD_01_012,WORD_01_012,발자국,발자국에서 부여,CHARACTER_SISTER,FALSE
WORD_01_013,WORD_01_013,스노우글로브,스노우글로브에서 부여,CHARACTER_SISTER,FALSE
WORD_01_014,WORD_01_014,구름,일기예보에서 부여,CHARACTER_SISTER,FALSE
WORD_01_015,WORD_01_015,맑음,일기예보에서 부여,CHARACTER_SISTER,FALSE
WORD_01_016,WORD_01_016,빛,화재 정보 공익광고에서 부여,CHARACTER_SISTER,FALSE
WORD_01_017,WORD_01_017,화재,화재 정보 공익광고에서 부여,CHARACTER_SISTER,FALSE
WORD_01_018,WORD_01_018,소방관,소방관 관련 팝업에서 부여,CHARACTER_SISTER,FALSE
WORD_01_019,WORD_01_019,발화,화재 뉴스에서 부여,CHARACTER_SISTER,FALSE
WORD_01_020,WORD_01_020,전소,화재 뉴스에서 부여,CHARACTER_SISTER,FALSE
WORD_01_021,WORD_01_021,방지,고데기 광고에서 부여,CHARACTER_SISTER,FALSE
WORD_01_022,WORD_01_022,파손,스노우글로브 광고에서 부여,CHARACTER_SISTER,FALSE
WORD_01_023,WORD_01_023,있음,기본 지급,CHARACTER_SISTER,TRUE
WORD_01_024,WORD_01_024,없음,기본 지급,CHARACTER_SISTER,TRUE
WORD_01_025,WORD_01_025,닫힘,문에서 부여,CHARACTER_SISTER,FALSE
WORD_01_026,WORD_01_026,커튼봉,커튼봉에서 부여,CHARACTER_SISTER,FALSE
WORD_01_027,WORD_01_027,화재 방지,일단 기본 지급 (고데기 광고에서 부여),CHARACTER_SISTER,TRUE
WORD_01_028,WORD_01_028,동기,일기장에서 사진으로 부여,CHARACTER_SISTER,FALSE
WORD_01_029,WORD_01_029,디퓨저,디퓨저에서 사진으로 부여,CHARACTER_SISTER,FALSE
WORD_01_030,WORD_01_030,끄다,쪽지에서 사진으로 부여,CHARACTER_SISTER,FALSE
WORD_01_031,WORD_01_031,시간,시계에서 사진으로 부여,CHARACTER_SISTER,FALSE
WORD_01_032,WORD_01_032,쪽지,쪽지에서 사진으로 부여,CHARACTER_SISTER,FALSE
